Language,ISO_code,Phoible_code,Meaning,Form,Trill,Dataset,Latitude,Longitude,Family,Branch,Area,Continent,Rough.M,rough,R_type,r,l
Afrikaans,afr,afr,grooved,gegroefde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,1.7,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,velvety,fluweelagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.3,FALSE,trill,FALSE,TRUE
Afrikaans,afr,afr,ribbed,geribde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.4,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,stubbly,stoppelig,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,5,TRUE,trill,FALSE,TRUE
Afrikaans,afr,afr,gnarled,knoestige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,4.4,TRUE,trill,FALSE,FALSE
Afrikaans,afr,afr,bony,benige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.5,TRUE,trill,FALSE,FALSE
Afrikaans,afr,afr,slippery,glibberige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-6.2,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,lumpy,klonterig,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.9,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,knobby,knobbelrige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.6,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,rough,rowwe,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,6.2,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,polished,gepoleerde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.3,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,painted,geverf,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-3,FALSE,trill,TRUE,FALSE
Afrikaans,afr,afr,fine,fyn,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-5.2,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,bumpy,stamperige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.3,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,woolly,wollerige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,0,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,crumpled,gefrommel,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.1,TRUE,trill,TRUE,TRUE
Afrikaans,afr,afr,sandy,sanderige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,3.9,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,dented,ingeduik,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.4,TRUE,trill,FALSE,FALSE
Afrikaans,afr,afr,icy,ysige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.3,FALSE,trill,FALSE,FALSE
Afrikaans,afr,afr,scratchy,krapperig,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,5,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,crusty,bedonnerde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,2.9,TRUE,trill,TRUE,FALSE
Afrikaans,afr,afr,callused,vasgekallus,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,4.2,TRUE,trill,FALSE,TRUE
Afrikaans,afr,afr,frayed,uitgerafelde,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-0.8,FALSE,trill,TRUE,TRUE
Afrikaans,afr,afr,gelatinous,gelatienagtige,yes,Google,-31,22,Indo-European,Germanic,S Africa,Africa,-4.2,FALSE,trill,FALSE,TRUE
